DÃ­a	Concepto / Referencia	cargo	Abono	Saldo
15-12-2025	TRASPASO ENTRE CUENTAS/7491370.1002.01 FOLIO: 0000000              200.00USD		3,569.30	10,651.79
15-12-2025	SAT/GUIA:4316463 REF:04258IJ5140048260490 CIE:0844985	31,228.00		7,082.49
15-12-2025	SAT/GUIA:4314950 REF:04258IIB470048264431 CIE:0844985	110,088.00		38,310.49
15-12-2025	SPEI ENVIADO BANORTE/0025354781  072 0151225VMM1343	28,293.85		148,398.49
15-12-2025	SPEI ENVIADO BANORTE/0025352586  072 0151225F5548	20,160.00		176,692.34
15-12-2025	PAGO DE AGUINALDO/IN 4206634591                            AGUINALDO	31,235.45		196,852.34
15-12-2025	PAGO DE AGUINALDO/IN 4206634591                         AGUINALDO HUD	9,387.26		228,087.79
15-12-2025	PAGO DE AGUINALDO/IN 4206634591                        AGUINALDO MEDL	137,751.31		237,475.05
15-12-2025	PAGO DE AGUINALDO/IN 4206634591                        AGUINALDO TERN	16,409.76		375,226.36
15-12-2025	PAGO DE AGUINALDO/IN 4206634591                            AGUINALDO	61,618.12		391,636.12
15-12-2025	PAGO DE AGUINALDO/IN 4206634591                          AGUINALDO ST	23,061.06		453,254.24
15-12-2025	PAGO DE NOMINA/IN 4206634591 3R RECYCLING SA DE C V	36,594.66		476,315.30
15-12-2025	PAGO CUENTA DE TERCERO/ 0023838039 BNET    1550296119 POSADA 3R	3,500.00		512,909.96
15-12-2025	SPEI ENVIADO BANAMEX/0025341697  002 0151225QUEQUITOS NLD	1,100.00		516,409.96
15-12-2025	PAGO CUENTA DE TERCERO/ 0028881223 BNET    1573698006 POSADA NLD	32,940.00		517,509.96
15-12-2025	SPEI ENVIADO BANREGIO/0025321477  058 0151225COT2856	10,208.00		550,449.96
15-12-2025	SPEI ENVIADO SANTANDER/0025318971  014 0151225A102	29,000.00		560,657.96
15-12-2025	SPEI ENVIADO SCOTIABANK/0025309403  044 0151225BZ15	15,680.00		589,657.96
15-12-2025	PAGO CUENTA DE TERCERO/ 0028881076 BNET    1568892725 A169	38,957.62		605,337.96
15-12-2025	TELCEL/GUIA:4225471 REF:00000000404483337526 CIE:0182251	7,514.02		644,295.58
15-12-2025	SPEI ENVIADO BANORTE/0025297364  072 0151225COMIDA SPIKE	1,550.00		651,809.60
15-12-2025	SPEI ENVIADO BANAMEX/0025296435  002 0151225ESCOBEDO	2,000.00		653,359.60
15-12-2025	SPEI ENVIADO AZTECA/0025273316  127 0151225PAGO SERVICIOS	341,785.71		655,359.60
15-12-2025	TRASPASO ENTRE CUENTAS/7487639.1002.01 FOLIO: 0000000            20000.00USD		356,994.60	997,145.31
15-12-2025	SPEI ENVIADO SANTANDER/0025266073  014 0151225DIESEL	40,000.00		640,150.71
15-12-2025	SPEI ENVIADO AZTECA/0025171577  127 0151225PAGO SERVICIOS	156,085.68		680,150.71
15-12-2025	SPEI ENVIADO SANTANDER/0025151036  014 0151225GRUA TERNIUM	10,000.00		836,236.39
15-12-2025	SPEI ENVIADO BAJIO/0025145206  030 0151225DIESEL PATIO MTY	5,238.26		846,236.39
15-12-2025	PAGO CUENTA DE TERCERO/ 0005158028 BNET    1559840766 COMISIONESNLD Y GA	52,112.26		851,474.65
15-12-2025	SPEI RECIBIDOHSBC/0109811588  021 3057318PRODUCTOS MEDLINE SA DE CV		763,285.13	903,586.91
15-12-2025	SPEI ENVIADO BAJIO/0025080063  030 0151225REFACCIONES PATIO MTY	13,258.00		140,301.78
15-12-2025	SPEI ENVIADO AZTECA/0025075352  127 0151225PAGO SERVICIOS	133,371.00		153,559.78
15-12-2025	RECIBO NO./P0Q5PB1805RK RECIBO NO.    X 00524454014     3003	2,467.69		286,930.78
12-12-2025	SPEI RECIBIDOBANORTE/0192846315  072 0121225pago fact		35,000.00	289,398.47
11-12-2025	SPEI RECIBIDOBANORTE/0190257115  072 0111225PAGO PARCIAL MD1079 CARTON		30,000.00	254,398.47
11-12-2025	PAGO CUENTA DE TERCERO/ 0020433080 BNET    0133675165 FACTURAS VENCIDAS	176,785.95		224,398.47
11-12-2025	SPEI ENVIADO BAJIO/0049439755  030 0111225BATERIAS PATIO MTY	12,500.00		401,184.42
11-12-2025	SPEI ENVIADO BANAMEX/0049438823  002 0111225POLIZAS SEGUROS	131,958.18		413,684.42
11-12-2025	SPEI RECIBIDOBANAMEX/0188872892  002 0111225T2557. MD1148. MD1149.		477,843.64	545,642.60
11-12-2025	SPEI RECIBIDOBANAMEX/0188872944  002 0111225MD1147		63,140.00	67,798.96
11-12-2025	PAGO DE NOMINA/IN 4206634591 3R RECYCLING SA DE C V	11,033.79		4,658.96
11-12-2025	PAGO DE NOMINA/IN 4206634591 3R RECYCLING SA DE C V	5,222.04		15,692.75
11-12-2025	PAGO DE NOMINA/IN 4206634591 3R RECYCLING SA DE C V	75,083.86		20,914.79
11-12-2025	PAGO DE NOMINA/IN 4206634591 3R RECYCLING SA DE C V	55,704.25		95,998.65
11-12-2025	SPEI ENVIADO SANTANDER/0049408123  014 0111225FLETE	99,890.60		151,702.90
11-12-2025	SPEI RECIBIDOBANORTE/0188482464  072 1234567DEV DE DEPOSITO EN GARANTIA		99,890.60	251,593.50
11-12-2025	SPEI ENVIADO BANORTE/0049201507  072 0111225FACTURAS 2202 2496  3101	7,776.00		151,702.90
11-12-2025	SPEI ENVIADO BANORTE/0049197226  072 0111225SEM 50 MEDLINE	1,623.81		159,478.90
11-12-2025	SPEI ENVIADO BANORTE/0049196349  072 0111225SEM 50 NLD	1,951.60		161,102.71
11-12-2025	SPEI ENVIADO BANORTE/0049195765  072 0111225SEM 50 TERNIUM	1,662.40		163,054.31
11-12-2025	SPEI ENVIADO BAJIO/0049194261  030 0111225PIEZAS PATIO MTY	4,600.00		164,716.71
11-12-2025	SPEI ENVIADO BANORTE/0049176557  072 0111225OCT NOV DIC	16,500.00		169,316.71
11-12-2025	SPEI ENVIADO SANTANDER/0049175816  014 0111225FC00184111	40,000.00		185,816.71
11-12-2025	SPEI ENVIADO AZTECA/0049168394  127 0111225PAGO SERVICIOS	233,512.42		225,816.71
10-12-2025	SPEI RECIBIDOBANAMEX/0181156959  002 0101225T2553		32,033.12	459,329.13
10-12-2025	PAGO CUENTA DE TERCERO/ 0013651015 BNET    1574049319 MOV MULERO TRANE	100.00		427,296.01
10-12-2025	SPEI ENVIADO SANTANDER/0048881314  014 01012253R RECYCLING ID 46	30,000.00		427,396.01
09-12-2025	SPEI ENVIADO BAJIO/0048803415  030 0091225CAJA CHICA	4,000.00		457,396.01
09-12-2025	PAGO CUENTA DE TERCERO/ 0095502047 BNET    0149414576 RENOVACION INGRESS	36,448.36		461,396.01
09-12-2025	PAGO CUENTA DE TERCERO/ 0095502036 BNET    1529836348 VIATICOS S50 TERNI	1,200.00		497,844.37
09-12-2025	PAGO CUENTA DE TERCERO/ 0095502025 BNET    1546486331 VIATICOS S50 TERNI	1,200.00		499,044.37
09-12-2025	DISP. T. NEGOCIOS/0095502014 CUENTA: 0112715171 BNET		500,000.00	500,244.37
09-12-2025	IZZI/GUIA:1327469 REF:00000000000372220228 CIE:1294350	1,364.00		244.37
09-12-2025	SPEI ENVIADO BANREGIO/0048610981  058 0091225SISTEMA 3R	5,000.00		1,608.37
09-12-2025	SPEI ENVIADO AZTECA/0048596096  127 0091225PAGO SERVICIOS	300,357.14		6,608.37
09-12-2025	SPEI ENVIADO BANORTE/0048591954  072 0091225TRANSFERENCIA ENTRE CUENTAS	90,000.00		306,965.51
08-12-2025	SPEI RECIBIDOBANAMEX/0169647647  002 0081225MD1128		66,029.04	396,965.51
08-12-2025	SPEI ENVIADO AZTECA/0048491226  127 0081225PAGO SERVICIOS	517,857.14		330,936.47
08-12-2025	PAGO CUENTA DE TERCERO/ 0062612015 BNET    0447732945 10 ROLLOS CALIBRE	16,820.00		848,793.61
08-12-2025	PAGO CUENTA DE TERCERO/ 0062612010 BNET    1559840766 GASTOS NLD	10,368.00		865,613.61
08-12-2025	SPEI ENVIADO AFIRME/0048465581  062 0081225F1142	23,200.00		875,981.61
08-12-2025	PAGO CUENTA DE TERCERO/ 0012694024 BNET    1597876950 PASTEL 3R MTY	400.00		899,181.61
08-12-2025	PAGO CUENTA DE TERCERO/ 0012694013 BNET    2736043445 PRESTAMO	1,000,000.00		899,581.61
08-12-2025	SPEI RECIBIDOBANORTE/0168896832  072 0081225acarreo y materiales		1,019,951.00	1,899,581.61
08-12-2025	SPEI RECIBIDOHSBC/0168626213  021 3057208PRODUCTOS MEDLINE SA DE CV		876,661.15	879,630.61
08-12-2025	PAGO CUENTA DE TERCERO/ 0087996010 BNET    1559840766 COMISIONES M Y TER	41,165.05		2,969.46
08-12-2025	SPEI ENVIADO BANAMEX/0048310185  002 0081225PAGO SEGUROS	102,508.80		44,134.51
08-12-2025	SPEI RECIBIDOBANORTE/0166632496  072 0081225TRANSFERENCIA ENTRE CUENTAS		80,000.00	146,643.31
08-12-2025	SPEI ENVIADO STP/0048307581  646 0081225CASETAS	20,000.00		66,643.31
08-12-2025	PAGO CUENTA DE TERCERO/ 0043162012 BNET    1586280892 SALDO CELULAR ALBA	100.00		86,643.31
08-12-2025	RECIBO NO./P0Q4LB180179 RECIBO NO.    X 00523407231     3003	1,938.03		86,743.31
06-12-2025	PAGO CUENTA DE TERCERO/ 0089715037 BNET    1529836348 CASETA	213.00		88,681.34
06-12-2025	PAGO CUENTA DE TERCERO/ 0089715026 BNET    1546486331 VULCA	300.00		88,894.34
06-12-2025	PAGO CUENTA DE TERCERO/ 0089715015 BNET    1586750987 SIMEPRODE	500.00		89,194.34
05-12-2025	COMPENSACION POR RETRASO/COMP SPEI  		0.01	89,694.34
05-12-2025	SPEI RECIBIDOBANAMEX/0153497913  002 0051225MD1125		63,392.00	89,694.33
05-12-2025	SPEI ENVIADO BANORTE/0047969961  072 0051225A11859	226,866.52		26,302.33
05-12-2025	SPEI ENVIADO AZTECA/0047957604  127 0051225PAGO SERVICIOS	45,571.42		253,168.85
05-12-2025	PAGO CUENTA DE TERCERO/ 0091634022 BNET    0167688318 000011569	10,908.64		298,740.27
05-12-2025	PAGO CUENTA DE TERCERO/ 0091634010 BNET    1550451848 PATIO STA ROSA Y N	40,000.00		309,648.91
05-12-2025	SPEI RECIBIDOBANORTE/0153181238  072 0051225TRANSFERENCIA ENTRE CUENTAS		110,000.00	349,648.91
05-12-2025	PAGO CUENTA DE TERCERO/ 0020770016 BNET    0445186153 RESTANTE 3R	15,149.60		239,648.91
05-12-2025	PAGO CUENTA DE TERCERO/ 0077434031 BNET    0445186153 COTIZACION  105302	7,574.80		254,798.51
05-12-2025	SPEI ENVIADO BAJIO/0047886214  030 0051225CAJA CHICA	14,607.00		262,373.31
05-12-2025	SPEI ENVIADO BANORTE/0047697548  072 0051225SEM 49 MEDLINE	1,623.81		276,980.31
05-12-2025	SPEI ENVIADO BANORTE/0047697057  072 0051225SEM 49 NLD	1,951.60		278,604.12
05-12-2025	SPEI ENVIADO BANORTE/0047696397  072 0051225SEM 49 TERNIUM	1,662.40		280,555.72
05-12-2025	SPEI ENVIADO AZTECA/0047689486  127 0051225PAGO SERVICIOS	233,375.68		282,218.12
05-12-2025	DISP. T. NEGOCIOS/0037551012 CUENTA: 0112715171 BNET		515,000.00	515,593.80
05-12-2025	PAGO DE NOMINA/IN 4206634591 3R RECYCLING SA DE C V	11,033.79		593.80
05-12-2025	PAGO DE NOMINA/IN 4206634591 3R RECYCLING SA DE C V	5,222.04		11,627.59
05-12-2025	PAGO DE NOMINA/IN 4206634591 3R RECYCLING SA DE C V	75,060.83		16,849.63
05-12-2025	PAGO DE NOMINA/IN 4206634591 3R RECYCLING SA DE C V	56,204.25		91,910.46
04-12-2025	SPEI ENVIADO BANORTE/0047604467  072 0041225FACTS VENCIDAS	34,624.31		148,114.71
04-12-2025	SPEI ENVIADO BANREGIO/0047603219  058 0041225SEM 47 Y 48	119,221.65		182,739.02
04-12-2025	PAGO CUENTA DE TERCERO/ 0086766114 BNET    0122745100 FACTURAS VENCIDAS	63,337.90		301,960.67
04-12-2025	SPEI ENVIADO BANORTE/0047601197  072 0041225NOVIEMBRE	140,000.00		365,298.57
04-12-2025	SPEI ENVIADO SCOTIABANK/0047600344  044 0041225BZ11	20,160.00		505,298.57
04-12-2025	PAGO CUENTA DE TERCERO/ 0086766051 BNET    0446897665 COTIZACION 6059481	23,527.70		525,458.57
04-12-2025	SPEI ENVIADO BANAMEX/0047576315  002 0041225925664 927532	55,576.29		548,986.27
04-12-2025	SPEI ENVIADO BANREGIO/0047574182  058 0041225SHIRLEY10695	571,670.27		604,562.56
04-12-2025	TRASPASO ENTRE CUENTAS/7351865.1002.01 FOLIO: 0000000            32000.00USD		578,873.92	1,176,232.83
04-12-2025	SPEI ENVIADO SANTANDER/0047455931  014 0041225FC00184111	30,000.00		597,358.91
04-12-2025	PAGO CUENTA DE TERCERO/ 0034758018 BNET    0101773356 COT BULBO Y PULMON	1,871.27		627,358.91
04-12-2025	IVA COM SERV BCA INTERNET/IVA COM SERV BC  	439.56		629,230.18
04-12-2025	SERV BANCA INTERNET/OPS SERV BCA IN  	2,297.26		629,669.74
04-12-2025	SERV BANCA INTERNET/SERV BCA INTERN  	450.00		631,967.00
03-12-2025	SPEI RECIBIDOBANAMEX/0140585553  002 0031225T2501.MD1126		365,320.60	632,417.00
03-12-2025	SPEI ENVIADO INVEX/0047282278  059 0031225PAGO	24,500.00		267,096.40
03-12-2025	SPEI ENVIADO AZTECA/0047279211  127 0031225PAGO SERVICIOS	517,857.14		291,596.40
03-12-2025	SPEI RECIBIDOBANORTE/0139628091  072 0031225TRANSFERENCIA ENTRE CUENTAS		585,000.00	809,453.54
03-12-2025	PAGO CUENTA DE TERCERO/ 0024324073 BNET    1597457192 POSADA TRANE	6,580.00		224,453.54
03-12-2025	SPEI ENVIADO BAJIO/0047244079  030 0031225CAJA CHICA	8,830.00		231,033.54
03-12-2025	SPEI ENVIADO SANTANDER/0047242837  014 0031225REPARACION GRUA	5,000.00		239,863.54
03-12-2025	SPEI ENVIADO BANCOPPEL/0047234331  137 0031225GARCIAII	2,000.00		244,863.54
03-12-2025	SPEI ENVIADO BANCOPPEL/0047230408  137 0031225ESCOBEDO	2,000.00		246,863.54
03-12-2025	SPEI ENVIADO BANCOPPEL/0047228426  137 0031225GARCIA	2,000.00		248,863.54
02-12-2025	COMPENSACION POR RETRASO/COMP SPEI  		0.01	250,863.54
02-12-2025	PAGO CUENTA DE TERCERO/ 0054094026 BNET    1529836348 VIATICOS S49 TERNI	1,200.00		250,863.53
02-12-2025	PAGO CUENTA DE TERCERO/ 0054094015 BNET    1546486331 VIATICOS S49 TERNI	1,450.00		252,063.53
02-12-2025	PAGO DE PRESTAMO/9890001641  TOTAL DE RECIBO	111,926.34		253,513.53
02-12-2025	PAGO DE PRESTAMO/9651154719  TOTAL DE RECIBO	101,177.41		365,439.87
01-12-2025	SPEI RECIBIDOBANAMEX/0128071795  002 0011225MD1121.T2488		285,108.00	466,617.28
01-12-2025	SPEI RECIBIDOHSBC/0127511181  021 3057100PRODUCTOS MEDLINE SA DE CV		135,584.51	181,509.28
01-12-2025	SPEI RECIBIDOHSBC/0127422309  021 3052669RCI HUDSON DE MEXICO		44,784.35	45,924.77
01-12-2025	PAGO CUENTA DE TERCERO/ 0048693010 BNET    0447732945 10ROLLOS CAL12	16,820.00		1,140.42
01-12-2025	PAGO CUENTA DE TERCERO/ 0059002012 BNET    1559840766 COMISIONES M Y TER	51,281.00		17,960.42
01-12-2025	SPEI ENVIADO SANTANDER/0046554367  014 0011225PRESTAMO	21,000.00		69,241.42
01-12-2025	SPEI ENVIADO SANTANDER/0046553741  014 0011225FC00184111	20,000.00		90,241.42
01-12-2025	RECIBO NO./P076NB0205YK RECIBO NO.    X 00520652143     2006	527.85		110,241.42
